NUMBER_KEY,SUB_TYPE_DESC,ENTERED_DATE,DATA_STATUS_DISPLAY,LATITUDE,LONGITUDE,address,parcel_id
B202104285,res code standard,2021-08-02T00:00:00Z,Closed,39.1170390964065,-84.575757498639,3776 W LIBERTY ST,NA
PSC2107416,"litter, private property",2021-08-02T00:00:00Z,Abated by the Owner,39.1177039392114,-84.5163194879931,34 E CLIFTON AV,NA
JV21000590,junk veh on private prop,2021-08-02T00:00:00Z,Abated by the Owner,39.1745239398126,-84.4766897199368,1225 FRANKLIN AV,NA
B202104292,res code standard,2021-08-02T00:00:00Z,Closed,39.1532236140162,-84.5865684666556,1000 VIENNA WOODS DR,NA
PSC2107406,"litter, private property",2021-08-02T00:00:00Z,Closed - Transferred to another Agency,39.1145107265196,-84.510425275464,1712 SYCAMORE ST,NA
SYCC210209,302.1 litter/refuse accumulati,2021-08-02T00:00:00Z,NA,39.2916327587513,-84.3529337483842,12173 1ST AV,NA
B202104295,tree on priv prop standard,2021-08-02T00:00:00Z,NA,39.2124559878862,-84.4668171943318,212 HARTWELL AV,NA
SYCC210210,302.4 tall grass/weed prv prop,2021-08-02T00:00:00Z,NA,39.2922280382619,-84.3522850570037,12194 1ST AV,NA
PSA2101310,"tall grass/weeds, private prop",2021-08-02T00:00:00Z,NA,39.124539920342,-84.5544605564249,1722 ESMONDE ST,NA
PSC2107445,"tall grass/weeds, private prop",2021-08-02T00:00:00Z,Closed - Transferred to another Agency,39.1971279112664,-84.5356641020191,5841 ARGUS RD,NA
PSC2107450,"litter, private property",2021-08-02T00:00:00Z,Abated by the Owner,39.1363484289146,-84.5389542481687,2955 BURLINGTON PL,NA
SYCC210208,302.4 tall grass/weed prv prop,2021-08-02T00:00:00Z,NA,39.2919078249671,-84.3529056724107,12185 1ST AV,NA
B202104282,res code standard,2021-08-02T00:00:00Z,Final Notice,39.1375227077632,-84.4572803114092,2324 MADISON RD,NA
B202104113,res code standard,2021-07-19T00:00:00Z,Closed,39.1489252803435,-84.5830689724535,2558 WESTWOOD NORTHERN BLVD,NA
PSA2101216,"litter, private property",2021-07-19T00:00:00Z,NA,39.1473564326079,-84.4958283496434,3571 WASHINGTON AV,NA
B202104114,res code standard,2021-07-19T00:00:00Z,Closed,39.2193987789232,-84.481659870337,6918 W LEEDS LN,NA
JV21000563,junk veh on private prop,2021-07-19T00:00:00Z,Abated by the Owner,39.1313232836924,-84.5895012334133,2604 QUEEN CITY AV,NA
BC20210269,comm code standard,2021-07-19T00:00:00Z,Closed,39.1598355601233,-84.5425246943229,4026 CHERRY ST,NA
B202102707,run business fm res stndrd,2021-07-19T00:00:00Z,Closed,39.0643308669554,-84.4291273530595,5860 PANAMA ST,NA
B202102703,fence height or const stndrd,2021-07-19T00:00:00Z,First Civil Citation and Fine Issued,39.1147549022161,-84.5792366209181,1215 1ST AV,NA
BAC2100199,"grass or weed, too tall",2021-07-19T00:00:00Z,NA,39.2709049644552,-84.3839789834829,4413 CORNELL RD,NA
BC20210174,use of comm property stndrd,2021-07-19T00:00:00Z,Closed,39.0963737585611,-84.3874956649615,2303 BEECHMONT AV,NA
B202104099,res code standard,2021-07-19T00:00:00Z,Closed,39.1444355758908,-84.4409181505113,3660 MICHIGAN AV,NA
PSA2101217,"tall grass/weeds, private prop",2021-07-19T00:00:00Z,Abated by the Owner,39.1473564326079,-84.4958283496434,3571 WASHINGTON AV,NA
B202104286,res code standard,2021-08-02T00:00:00Z,Closed,39.1601893212478,-84.5039887259007,13 E MITCHELL AV,NA
PSC2107382,"litter, private property",2021-08-01T00:00:00Z,Abated by the Owner,39.1090320399716,-84.5675368670928,951 WOODLAWN AV,NA
B202102745,parking in yard stndrd,2021-08-01T00:00:00Z,Closed,39.1887599307217,-84.5741109210123,2705 W NORTH BEND RD,NA
B202102746,parking in yard stndrd,2021-08-01T00:00:00Z,Closed,39.1892286767307,-84.5738530175851,2700 W NORTH BEND RD,NA
PSC2107375,"trash, improper set out",2021-08-01T00:00:00Z,Refer to Sanitation,39.1070016377486,-84.586124412919,4097 W 8TH ST,NA
PSC2107363,"dumping, prv prop <2500 sq ft",2021-07-31T00:00:00Z,Closed - Transferred to another Agency,39.2118047811515,-84.4635935756824,215 E GALBRAITH RD,NA
PSA2101306,"litter, private property",2021-07-31T00:00:00Z,Abated by the Owner,39.1572167754237,-84.5987476220901,3000 WARDALL AV,NA
BAC2100221,"dumping, illegal dumping",2021-07-31T00:00:00Z,NA,39.2257032510491,-84.3788329896304,3201 RONALD REAGAN CROSS CO EB HWY,NA
B202104277,res code standard,2021-07-31T00:00:00Z,Closed,39.1962838711737,-84.5664764644514,2370 W NORTH BEND RD,NA
PSA2101303,"tall grass/weeds, private prop",2021-07-31T00:00:00Z,Abated by the Owner,39.1930258258435,-84.4818371028646,6913 VINE ST,NA
PSA2101304,"tall grass/weeds, private prop",2021-07-31T00:00:00Z,Property Owner Billed for Cleaning,39.1327977812698,-84.6119476991398,3233 BRATER AV,NA
PSA2101305,"litter, private property",2021-07-31T00:00:00Z,NA,39.1341430766557,-84.6187446713851,3440 GEROLD DR,NA
PSA2101307,"litter, private property",2021-07-31T00:00:00Z,Abated by the Owner,39.1731567498721,-84.5176529773131,731 EAST EPWORTH AV,NA
